ISO,NAME_0,ID_1,NAME_1,VARNAME_1,HASC_1,TYPE_1,ENGTYPE_1
NZL,New Zealand,2125,Auckland,,NZ.AU,Regional Council,Regional Council
NZL,New Zealand,2126,Bay of Plenty,,NZ.BP,Regional Council,Regional Council
NZL,New Zealand,2127,Canterbury,,NZ.CA,Regional Council,Regional Council
NZL,New Zealand,2129,Gisborne,East Coast,NZ.GI,Unitary Authority,Unitary Authority
NZL,New Zealand,2130,Hawke's Bay,Hawkes Bay,NZ.HB,Regional Council,Regional Council
NZL,New Zealand,2131,Manawatu-Wanganui,Wanganui-Mawanatu,NZ.MW,Regional Council,Regional Council
NZL,New Zealand,2132,Marlborough,,NZ.MA,Unitary Authority,Unitary Authority
NZL,New Zealand,2133,Nelson,,NZ.NE,Unitary Authority,Unitary Authority
NZL,New Zealand,2134,Northland,,NZ.NO,Regional Council,Regional Council
NZL,New Zealand,2135,Otago,,NZ.OT,Regional Council,Regional Council
NZL,New Zealand,2136,Southland,,NZ.SO,Regional Council,Regional Council
NZL,New Zealand,2137,Taranaki,New Plymouth,NZ.TK,Regional Council,Regional Council
NZL,New Zealand,2138,Waikato,,NZ.WK,Regional Council,Regional Council
NZL,New Zealand,2139,Wellington,,NZ.WG,Regional Council,Regional Council
NZL,New Zealand,2140,West Coast,,NZ.WC,Regional Council,Regional Council